rank	node_id	tx_hash	in_degree
88	88852326	b8ba939da1babf863746175b59cbfb3b967354f04db41bd13cb11da58e43d2a8	1379
89	146248960	6649303dfd59113f4727862ef7e05624a5efdcdccdac32bf69dd5efd4485b761	1355
90	7552999	9621b3c67f9bddd3de65fafc488087b8f2b40b638e3a06209a904c66c0b32982	1311
91	88274428	79e30d460594694231f163dd79a69808904819e2f39bf3e31b7ddc4baa030a04	1304
92	88274663	26ed04bd772c7d3d621329bda8eefec9f81108d46ef0bd3b690000465f5254b3	1295
93	90685982	0683fb9cfcd4a211c14ef7cd2d03739160ff9ba1cb5396be227e475e932a8e9b	1202
94	91489133	b28d67131d00bda9dac0da484dd1352c55ec6a869ea04a7e85b71d2ddf2356d9	1194
95	88657208	53e26f4206a50233ac7adbd5b39d30c2173e349a8c501e8fe74e0eb1051f03e6	1173
96	87698156	767885bc144bdc0414217547f0169352a065083750371cabe5acbd0e0dd60436	1157
97	87346573	b23c99c30339cb93eb04790bc5213f7732365488fe2549802bb472084b6ec508	1124
98	88412969	b19b3ce94ed0aae3c4b85eda628b0465992daf044be27302fb74210b80dc4e59	1113
99	88400521	9b093ad50c6845118f51542f2a7181a52e4723e99aba2ef2dfc340fea6cf1028	1102
100	88052277	c3f2c2df5388b79949c01d66e83d8bc3b9ccd4f85dbd91465a16fb8e21bf8e1b	1093
101	75170361	ba6b09a460047cf2fbc37b3099175bff6c8747b66e978723857faf31e7f8e373	1083
102	146286836	4066a3ab549068cefd23b08ad35827638736f9174676b21e25e3273a911d6240	1052
103	74973608	4fad68da62850b2298d87b4f24894ed4dccb931d38617f49908853552c3554b8	1000
104	74973609	568d6b3d2fc4c804d80cb89ae6033158d693cde45bdd16737bee08f26089bcb0	1000
105	74979907	778f0a053dffb5f30da0add7960e2855edf6ccfa7608e53aa0eecdba734997bc	1000
106	74984277	1999609eaacf69a09103ba60c630dc9b9a5185bcd6ee5998ab45f0e6f2f147c8	1000
107	75037766	a9d65b218fb8b906b39756ea677f00db4d223fa20c0e811174408efb7e394f7d	1000
108	75037767	b412e82ddbbfe38f1796f372214988fcc391e0b38241bf05614c3309a84ae26f	1000
109	75051232	b166fc765a5a5f3f200b228a965cf3417dddf1d9617b1515443a088dc29d7232	1000
110	75058042	c65fc2249f76dda02f3cf9015414feaca0c5e131c68567cd27cc5044352cbd3e	1000
111	75058043	935aa321c83249a3dae678554d3f719b31bee641628538bcdaed59caf0a2990e	1000
112	75079991	6646af5d61c34669f312db551439fe921f3dfbb8554370dd27b1cb209fa37187	1000
113	75082219	87463dcdf9e2c835acb2003f28d52ffc0d8542dbf96040be2de8ecc79d4a6bb0	1000
114	75749333	c2f53418ccca70e52209f12626ab0f1c40b5a116cdfc3e590cd53ea2ac634dfd	1000
115	75755785	d54c6ab1b641337dde7e6ac87682d4ee099af7a548cfb4f7cda3ac7607d92e92	1000
116	75755786	ef6e679bf3f7492248b022d72551e408950fd54fd823ac0230b105f702f22e0f	1000
117	75755787	5a832cdfb51fe70164177921a3166892056d42520e8f0e078fc419dcdf54a75b	1000
118	75755788	30ebc5b197de11a9ab4e0ccb443a93e9832aae7403050f7a19efcb5b85dd65d5	1000
119	75762633	a446155bd4a3b0639ffde251f0c79e75396e70e7b8a4029081c0b882f70e9202	1000
120	75762634	0eeaa984f90b8a1c2a8d8a99c0e0290e93d43ef70df5da7330585e586da29130	1000
