rank	node_id	label	in_degree
902	18580769	null	8149
903	71435889	null	8141
904	50430128	null	8128
905	28052561	null	8114
906	1519081	null	8082
907	18586076	null	8080
908	25066796	null	8075
909	58401976	null	8055
910	58131348	null	8014
911	59219105	null	8010
912	84569339	null	7969
913	73787220	null	7968
914	21937753	null	7956
915	17899327	null	7947
916	7445836	null	7926
917	91039555	null	7923
918	8453709	null	7922
919	77161289	null	7905
920	105694558	null	7873
921	60987799	null	7868
922	3684095	null	7855
923	43358281	null	7853
924	3281405	null	7826
925	72458153	null	7823
926	5761008	null	7817
927	66591818	null	7810
928	3625896	null	7788
929	44783577	null	7774
930	100133327	null	7764
931	119140712	null	7754
932	6066040	null	7752
933	34294340	null	7748
934	80309658	null	7738
935	134867064	null	7688
936	127460923	null	7665
937	26112355	null	7659
938	24096565	null	7640
939	28215937	null	7638
940	34863489	null	7624
941	44743913	null	7622
942	10709782	null	7618
943	42390042	null	7606
944	3254187	null	7599
945	48137096	null	7589
946	106685013	null	7589
947	6364260	null	7585
948	119373124	null	7569
949	11908324	null	7567
950	3826345	null	7555
951	8811454	null	7549
952	13182505	null	7544
953	14330661	null	7535
954	68176532	null	7532
955	52906146	null	7502
956	44794382	null	7474
957	89260093	null	7473
958	19352826	null	7468
959	47372792	null	7460
960	64080719	null	7455
961	62208299	null	7454
962	18746942	null	7449
963	88998708	null	7445
964	68601	null	7444
965	39812640	null	7430
966	24137532	null	7427
967	123126097	null	7423
968	117763935	null	7417
969	16404305	null	7413
970	68483772	null	7390
971	17911593	SpectroCoin.com	7384
972	3455905	null	7376
973	3427791	null	7360
974	102778426	null	7353
975	8581972	null	7343
976	138354082	null	7333
977	3550945	null	7330
978	2835652	null	7315
979	3216902	null	7314
980	1328072	null	7299
981	28177963	null	7293
982	46044589	null	7270
983	15985646	null	7225
984	46631116	null	7206
985	46490692	null	7201
986	37048855	null	7197
987	89363655	null	7181
988	20488879	null	7166
989	117618634	null	7150
990	111559495	null	7143
991	73492228	null	7142
992	85744676	null	7141
993	52609808	null	7140
994	10280159	null	7134
995	25616129	null	7126
996	82594441	null	7118
997	118056443	null	7116
998	61778318	null	7101
999	44540999	null	7072
1000	3811382	null	7066
1001	82437143	null	7065
1002	134095975	null	7063
1003	52467166	null	7062
1004	24128345	null	7057
1005	8649414	null	7044
1006	53197955	null	7043
1007	105939502	null	7009
1008	117102750	null	7004
1009	48092895	null	6964
1010	37387866	null	6949
1011	14173827	SatoshiCircle.com	6945
1012	15857486	null	6937
1013	27423773	null	6925
1014	44824652	null	6917
1015	128990594	null	6893
1016	70919428	null	6871
1017	56641677	null	6853
1018	87973766	null	6847
1019	48270838	null	6835
1020	11448041	Leancy.com	6833
1021	80824214	null	6832
1022	2617267	null	6829
1023	16714169	null	6815
1024	17010088	null	6814
1025	95610493	null	6793
1026	2272230	null	6792
1027	12630328	null	6788
1028	82173611	null	6771
1029	57899668	null	6765
1030	17055307	null	6763
1031	109381195	null	6763
1032	75020464	null	6760
1033	39946060	null	6757
1034	66822	null	6755
1035	222803	null	6750
1036	76281929	null	6735
1037	4563322	null	6727
1038	65081838	null	6727
1039	96558664	null	6721
1040	10789402	null	6719
1041	10377060	null	6716
1042	40599917	null	6715
1043	12642885	null	6706
1044	20391728	null	6705
1045	80931895	null	6700
1046	128364520	null	6697
1047	7367221	null	6687
1048	5513905	PinballCoin.com	6677
1049	20008679	null	6673
1050	15021650	BitStarz.com	6669
1051	33221670	null	6668
1052	50276804	null	6664
1053	3611134	null	6655
1054	20520260	null	6645
1055	10123148	777Coin.com	6637
1056	51823733	null	6637
