rank	node_id	address	label	clustering
161	10971	18PjEQJ8mxViVABbF96yENpiGrFBU6Y8jN	null	1.000000000000000
162	10992	1PpUSKF9P6szkTJUXHTQ5VsQw95rxMy7ce	null	1.000000000000000
163	11031	1DYRsfHEU5sMFy7QNrhwa22A4KLeXxdfEZ	null	1.000000000000000
164	11063	16cWYkgo3bWRoeVDwjRvz9A9BFycQcu9gP	null	1.000000000000000
165	11184	12maJjJAacYs823UBh4b8R1hSsF7QS7GhX	null	1.000000000000000
166	11210	14BN4Us8vLSvwpPUsEsYWQr6kcqRSNucBJ	null	1.000000000000000
167	11403	1JVNj2iLqerXpVtVpXyRN5HHoTjQL3RnDn	null	1.000000000000000
168	11416	1HAtAEM1BubUnrLvSFXpPqhTy8tqcjjQcY	null	1.000000000000000
169	11427	1CLbPN8F2F2RKSdyZKpPYneSF2XSnqTRLt	null	1.000000000000000
170	11441	1CAGZvJeG3j7d2hMxoWABPFVVWDpVD6DQ6	null	1.000000000000000
171	11447	1He14kpsCrycsh6SZq3bzio1Ym29mFsA1H	null	1.000000000000000
172	11455	17KtTQsEJS6PtDnreeB9KQ6VkrqE2AWrJv	null	1.000000000000000
173	11471	1G9YmL2NMryCNT3YjoDKJX4NJKqH5BVnC	null	1.000000000000000
174	11511	16EJpHSMUC5d8bRkKuYCnvMh7gfadc1KMk	null	1.000000000000000
175	11528	14ed7Knmz8bPs4qdMG6PxE24joi8Ztx6uK	null	1.000000000000000
176	11548	14BKTUct4pqPzQZzSowwLjLHhXiRSHxzGo	null	1.000000000000000
177	11558	191ibsSXgyLgECqmfuiY334u4GVFQSadYc	null	1.000000000000000
178	11563	1GDUQtULTT5oyxF152GTtowPis5Hm85jw4	null	1.000000000000000
179	11580	18gFhdbgqTM4BqC3zXEsWbdvHAhSFzJoZ	null	1.000000000000000
180	11586	114sEnF6rpqSnbQib5QXvKisyRhiAry9Cz	null	1.000000000000000
181	11606	132rhWKHPN8e6FaRKgFj5btsbvSNR944D3	null	1.000000000000000
182	11638	1A1Je6qNQYiV7qie3heQVH4cT4Mq4phMG1	null	1.000000000000000
183	11670	1CpoNTzWCgkM7y4QvQj9imsPwFQVeYzWvF	null	1.000000000000000
184	11674	182LfU4srH4KUjLXfianycnxqcoa2TdB72	null	1.000000000000000
185	11718	1PN9ozFfH56sSJcs582The9bHrHBxA2RT9	null	1.000000000000000
186	11729	19vhA2gb2dZev2by2TznKLZVk1LW8qkWnv	null	1.000000000000000
187	11750	1CN8cnxKpfwyRmW3FrY4dp1sxdvEkyPZme	null	1.000000000000000
188	11765	1889q5k9CW5n7XQL3EaVtgGEAbBK3aYgjS	null	1.000000000000000
189	11785	1MmN2VQHb1o9BoGbPJRAV1zkagPchh8znh	null	1.000000000000000
190	11797	1Dhzn4EWDZUrnKs6i2mbDvmfXPY2ei6sWA	null	1.000000000000000
191	11799	1JwyKkXCCsPPxdssh5MzrvjJoabM7bydh5	null	1.000000000000000
192	11819	1N6EDicqKKnqpiSK3aU3uz3H8LksBneFk2	null	1.000000000000000
193	11840	1EvRHRrrrjc1xR8z1X2hhoFw7JWSpsDMJw	null	1.000000000000000
194	11862	13mpcjvzR4g4enTUYuw6LRb51UgF9P21Ut	null	1.000000000000000
195	11880	18hiJ6shdiaEmXSpFxtUC82n5Y9VHeUmbR	null	1.000000000000000
196	12017	1C9U9dFgLDMVFoiE6NEictNjCk44X6uJX7	null	1.000000000000000
197	12071	1FJDoT5UjU6dXCXWL9P6nUM2Ppp2YSDccF	null	1.000000000000000
198	12077	12YUrtDqLMCtSnTzx3Bejd8Jjz3hERGPEV	null	1.000000000000000
199	12089	1FPqf9UfjY4zBWPC2GKNYSRxunWDrZ4pfR	null	1.000000000000000
200	12091	1PR7HHm3B1YA4mUS2uoaDGMLUXSRFNVe7P	null	1.000000000000000
201	12204	1C2jCMfA9HiNoqW9yFUNNfCRY73yqrp5JL	null	1.000000000000000
202	12222	17K6S6Cpu2YjGjkBj3T9oZYNqTsCTUZVF1	null	1.000000000000000
203	12251	1M81j2J79rVTcZgRfkDhQpWCEVkHf1pmyF	null	1.000000000000000
204	12259	14WgvdBwWmx2fo1hH71zCE3idAaWxQcVTU	null	1.000000000000000
205	12313	1Ms4aXBHc3wpBXSUeeGB6Vohvh5LaQxQ3x	null	1.000000000000000
206	12372	14RXrF71c71qjheAoT84kNpyEmzwtqP1ph	null	1.000000000000000
207	12403	1LeD7Kbaw9S6uDkeFcuag7XDA2PMpr8gG7	null	1.000000000000000
208	12586	1BW6HrqL36dYQ3x94q7CdHQ3nQwV8T15Wn	null	1.000000000000000
209	12622	13CXwP3Ummjm5ELbPTcHd6KSB4mJdMgcyN	null	1.000000000000000
210	12723	1NG8CopmVXEfH8VM9J5X7a4yMSozVxuYyB	null	1.000000000000000
211	12863	1MoeaQPx3oECKkMfxv1LQ739WASGofeQLw	null	1.000000000000000
212	12881	12Q8PcEgras5G3QedWrUQzrJJVvT4DmFtu	null	1.000000000000000
213	12885	1CFSwhUrPm8rWG9yPYUmDGveb2kKvndohT	null	1.000000000000000
214	12905	1Aro7FRZTvq65LGNK4Nr3NXgXPbQnWzeJz	null	1.000000000000000
215	12935	17TDUX41uomFeg8rdW8PLs5bGCWVUd5F7u	null	1.000000000000000
216	12940	145s5n3ESUp8xiS8RVGzyskKyfX4MNDef3	null	1.000000000000000
217	12967	1G1YuRWbH6bKtnGhyo1gibbTP5dFWdPJPf	null	1.000000000000000
218	12978	1L8Z2tLULM3i9fC5Xr3e1REQgSXEw6s2JE	null	1.000000000000000
219	12980	19VWqhcYVjPrUNVq21vMuUdeGgs6Q75S1S	null	1.000000000000000
220	13032	1NxZSf1XeSnd3vw9D3mDQzMLRrkp5jnEVd	null	1.000000000000000
221	13039	14tSe1saTHgdT2iqD6cU9CvRfq5DqkibK5	null	1.000000000000000
222	13077	1BLQRCJfBcKWJX8c1AwQpcL9CVGeR9Wik	null	1.000000000000000
223	13089	1F34HHT7VPDCBVWMt96ptytLrxcNavWHTo	null	1.000000000000000
224	13116	1Njif32C5PxcTKPBqK3MvemgvyRJ7TmuxP	null	1.000000000000000
225	13123	1JbLxFavidbdDQA7SueG7HVNiUb8xjLoL5	null	1.000000000000000
226	13127	1MQsExv4G5qH3jwg4s4DWrkwHkR9y7hx3D	null	1.000000000000000
227	13142	19L76e33eS3tULYBTpoM8uzpXzqfdoMSmR	null	1.000000000000000
228	13191	1MCSbfEYWXNAT2JWyfMzM9s9DoDmb2P5B8	null	1.000000000000000
229	13230	145tuYtnyxPkv4KwRNGDzLsXZ7DwDxAXYn	null	1.000000000000000
230	13373	18ZhbXh1BVNrasj4WChR286PzqTyK1BJBs	null	1.000000000000000
231	13382	1J27CLhDGmm3qBSiVcGxoE3evoSECUREYj	null	1.000000000000000
232	13408	1PkYMX4fMBjMKrR2f7gN27TX6R5ui4hoH4	null	1.000000000000000
233	13422	1DaW4HD1ygJBxpejqMxHPitsAVWGzy1pyF	null	1.000000000000000
234	13434	12w5VuVJFhsxTtwkbmFCRonsU9wXoTCSby	null	1.000000000000000
235	13445	17us2vVpEFzDoWtiJd6kjoig5rdQ3PgZ7q	null	1.000000000000000
236	13451	15dPXnDjJ8xEKAmN5vVjKKXaKbMcwfb2qU	null	1.000000000000000
237	13499	1PT7HLfhtLjuKyzpHhsQNcrZ4mJPbvMuJj	null	1.000000000000000
238	13516	1FFDDDFxHs6Ah53fdFqGRXdywRd38XBSGK	null	1.000000000000000
239	13530	1PVB1TxaAE4ty8wPYBGvQMkXrvjn8MmFBF	null	1.000000000000000
240	13547	191nwskTGDUdKMKCtJrtUoRUaBVrD13Kyk	null	1.000000000000000
241	13552	1DKV5YzTJMhwU7Mb9mNzEPS65nKvn4HUK8	null	1.000000000000000
242	13577	1MWDEjW7sCWvrpisWuGQwH3YYoELWTCQbk	null	1.000000000000000
243	13591	1J5AfrsUFgW7qDX7p7hcvd1h6V2ZZ5fFhX	null	1.000000000000000
244	13612	1Aao3FAV8Qo3yknkSwauTkyFxSmQdE1ZRL	null	1.000000000000000
245	13639	1HkutTtNmHBJG7obmJGiZpnWvGhYFrscuG	null	1.000000000000000
246	13661	1DvaYTiZWJmXqaY8Dzw2NR4XqoayQVGQxy	null	1.000000000000000
247	13669	19t3oh8vJMTcvhaThCs2yCC4wWqzDgjLmA	null	1.000000000000000
248	13677	1G1z1WqJ5caEasX4dB3c7F18kWmvhhhu2u	null	1.000000000000000
249	13687	1A3Sw5SyjkiwfdzEF8tGjhHUXyVuDm71TD	null	1.000000000000000
250	13701	1Fyy9X41xgnf2gHSZrvGEYWh9X667Qj2nB	null	1.000000000000000
251	13704	12AaqDYTSXP3NYMcAFT3uFhCuCywiV21w1	null	1.000000000000000
252	13731	193imFRqj8inv1xQDXDEjKaBwQvJqf1QJN	null	1.000000000000000
253	13762	1FhCaGUh73A5cffWCRXZ42YoQJMod4wuvS	null	1.000000000000000
254	13787	1Epo9FBrJ9kyn7HhMHP2vmiFY622a6ztTu	null	1.000000000000000
255	13830	14t6RXCvCg2oYb16MRgdD39QKJQCMZypGz	null	1.000000000000000
256	13855	12i71Ak2oLXDFdMwcnEXLq5tvzYo7ShPMn	null	1.000000000000000
257	13899	1JipV6Hga1uUDKEnCvTb3L9dmQjhq78jbA	null	1.000000000000000
258	13911	1PYoBaXY3hhfVZGykSUXyXhdLjkMjdqYaM	null	1.000000000000000
259	13945	1Patjwkpi829xZBrwooWM7whUHG4ZeWaab	null	1.000000000000000
260	13954	1J23Kcm4TpJsXWpASPb8N85CWfFbVtnQsH	null	1.000000000000000
261	13955	114Z1eKkBpCSFZKqdmVRvREv261HkMsURM	null	1.000000000000000
262	13957	1KgcAAXfdXGnZAo6kWBU7u3hKibTTMimVf	null	1.000000000000000
