rank	node_id	label	out_degree
632	53317509	null	5638
633	77161289	null	5635
634	38770468	null	5630
635	116207148	null	5621
636	83001988	null	5603
637	25328648	null	5592
638	58436602	null	5583
639	11223567	null	5561
640	40294151	null	5556
641	47372792	null	5553
642	92550303	null	5552
643	15835572	MeXBT.com	5531
644	12642885	null	5522
645	96893332	null	5522
646	96665330	null	5491
647	17719730	null	5490
648	130147783	null	5462
649	15629102	null	5461
650	79151500	null	5460
651	84374956	null	5459
652	41731612	null	5454
653	27375001	null	5436
654	1697272	null	5433
655	48297644	null	5422
656	13171110	null	5397
657	38163328	null	5393
658	22187142	null	5357
659	99512461	null	5354
660	84392212	null	5349
661	72232309	null	5337
662	81877966	null	5319
663	44783577	null	5292
664	76873078	null	5283
665	124352728	null	5282
666	20452814	null	5274
667	69988883	null	5274
668	12764783	VaultOfSatoshi.com	5269
669	71200159	null	5247
670	3684095	null	5235
671	14815968	CannabisRoadMarket	5205
672	30402176	null	5197
673	96954222	null	5189
674	18461034	null	5184
675	24862028	null	5173
676	130898955	null	5151
677	131202905	null	5149
678	7260239	BTradeAustralia.com	5136
679	7399067	Bitbond.com	5111
680	27958816	null	5095
681	89717755	null	5089
682	5807354	null	5073
683	3515049	null	5072
684	27415047	null	5060
685	1096804	null	5032
686	1647009	null	5030
687	65039988	null	5024
688	124485711	null	5022
689	102924935	null	5010
690	5402035	Betcoins.net	5009
691	26029029	BlockTrades.us	5009
692	31157246	null	5001
693	108522777	SimpleCoin.cz	4981
694	32708195	null	4946
695	31423709	null	4930
696	37829471	null	4915
697	30450066	null	4906
698	6942774	Crypto-Trade.com	4904
699	10144868	Coinomat.com	4904
700	61074973	null	4894
701	89088774	null	4871
702	19466418	null	4847
703	37223669	null	4846
704	24144947	null	4836
705	1667463	null	4830
706	117555303	null	4823
707	9774923	Exchanging.ir	4812
708	2427665	null	4804
709	40158128	null	4782
710	16022820	null	4781
711	24007732	null	4777
712	53345031	null	4770
713	75420667	null	4765
714	55572342	null	4763
715	62040044	null	4751
716	92543219	null	4748
717	89196701	null	4746
718	44540999	null	4738
719	41164614	ePay.info	4735
720	97808642	null	4733
721	70519399	null	4720
722	15574236	PandoraOpenMarket	4716
723	24936094	null	4708
724	28205561	null	4702
725	75524305	null	4702
726	3625896	null	4697
727	13866662	null	4696
728	93150161	null	4696
729	39726963	null	4681
730	54206789	null	4669
731	17774799	null	4663
732	50515431	null	4661
733	65392928	null	4657
734	132844508	null	4650
735	80483076	null	4638
736	7560694	null	4633
737	22240365	null	4623
738	47275445	null	4613
739	138260705	null	4613
740	34478510	null	4604
741	7164718	null	4600
742	14417432	null	4570
743	41693214	null	4570
744	9451603	null	4559
745	1130517	Bitmit.net	4539
746	81886595	null	4539
747	46859970	null	4536
748	27233385	null	4525
749	82992011	null	4516
750	100053427	null	4504
751	11046195	null	4502
752	65963933	null	4501
753	93528540	null	4494
754	11835477	null	4491
755	23255482	FoxBit.com.br	4480
756	32166349	null	4479
757	50832132	null	4476
758	22797199	null	4472
759	6806903	null	4421
760	72159879	null	4421
761	123690105	null	4412
762	86526918	null	4408
763	110587387	Cryptonator.com	4394
764	24611953	null	4390
765	65268943	null	4388
766	8700307	null	4385
767	50225537	null	4376
768	9992252	null	4374
769	55171450	null	4366
770	22045984	null	4365
771	28914554	null	4365
772	41352454	null	4351
773	119815741	null	4349
774	6836587	CryptoStocks.com	4347
775	5752727	null	4332
776	35902399	null	4328
777	24545125	null	4321
778	119629166	null	4321
779	12798217	null	4312
780	91561180	null	4309
781	92233576	null	4301
782	68273714	null	4297
783	112304503	null	4275
784	80659713	null	4263
785	55740628	null	4262
786	23396986	null	4249
787	2108279	null	4225
788	17599613	null	4223
789	92506533	null	4215
790	79305221	null	4206
791	5728927	null	4204
792	63396330	null	4203
793	90017935	null	4200
794	21897633	null	4188
795	92207243	null	4187
796	47943860	null	4182
797	52719060	null	4178
798	2405461	null	4169
799	5964253	null	4165
800	59382205	null	4156
801	74662138	null	4156
802	17074024	null	4146
803	6091309	Bitcoin-Roulette.com	4138
804	74611146	null	4137
805	70519475	null	4099
806	66822	null	4098
807	907415	null	4095
808	16343875	null	4085
809	22018507	null	4084
810	67363133	null	4081
811	55664950	null	4068
812	132595500	null	4065
813	36187386	null	4064
814	70519401	null	4050
815	20158947	null	4032
816	108306105	null	4027
817	68411655	null	4023
818	80018400	null	4021
819	2272230	null	4012
820	78022906	null	4005
821	37736243	null	4001
822	15396153	null	3995
823	63613801	null	3978
824	34761264	null	3975
825	19171601	null	3968
826	16242035	null	3963
827	41969022	null	3963
828	109170967	null	3956
829	16167004	null	3954
830	23486869	null	3954
831	6559459	null	3953
832	69529824	null	3953
833	79593441	null	3943
834	92208885	null	3942
835	65352502	null	3940
836	19976171	null	3938
837	1479207	null	3937
838	70900381	null	3932
839	14545817	null	3928
840	69547066	null	3918
841	115410401	null	3904
842	100928771	null	3901
843	6294155	null	3892
844	21939283	null	3892
845	24258995	null	3885
846	77891313	null	3880
847	58772851	null	3879
848	223562	null	3872
849	11440611	null	3868
850	65806281	null	3863
851	116261875	null	3850
852	21299422	null	3849
853	21132935	null	3848
854	1091517	null	3841
855	11175499	null	3840
856	29537289	null	3831
857	23681519	null	3827
858	17896889	null	3826
859	80670698	null	3820
860	73634753	null	3817
861	18891779	null	3800
862	9203726	null	3795
863	86494880	null	3795
864	41830525	null	3793
865	19332205	null	3782
866	23681925	null	3768
867	80708026	null	3766
868	23681516	null	3763
869	2697377	null	3762
870	14060085	null	3762
871	113769159	null	3757
872	65334698	null	3751
873	36583558	null	3731
874	81604035	null	3725
875	64533897	null	3723
876	126556758	null	3718
877	2182114	null	3714
878	24128345	null	3696
879	59954957	null	3695
880	54581740	null	3694
881	34557540	null	3693
882	102119232	null	3693
883	137427818	null	3692
884	2345706	null	3689
885	6003477	BTCOracle.com	3688
886	11204676	null	3686
887	60849472	null	3683
888	36901584	null	3679
889	90704218	null	3677
890	95545866	null	3672
891	13037570	null	3670
892	70900229	null	3656
893	50213218	null	3649
894	15108842	null	3647
895	100928772	null	3636
896	114828033	null	3627
897	64822850	null	3620
898	8983686	null	3615
899	39404492	null	3614
900	14887368	null	3609
901	80904729	null	3607
902	27635390	null	3606
903	2039202	null	3605
904	80328838	null	3603
905	82748002	null	3603
906	33426686	null	3586
907	18228114	null	3580
908	71876944	null	3576
909	9514967	null	3555
910	15396314	null	3554
911	107666718	null	3553
912	64948061	null	3546
913	6542406	null	3543
914	9413136	Peerbet.org	3541
915	132982945	null	3538
916	21137253	null	3535
917	6558078	null	3531
918	22842240	null	3531
919	110206377	null	3523
920	47389122	null	3521
921	69212008	null	3509
922	36767446	null	3495
923	9980303	null	3491
924	35105828	null	3488
925	77728166	null	3480
926	42999365	null	3470
927	4485862	null	3469
928	43415526	null	3467
929	11128594	null	3465
930	27105133	null	3464
931	47749160	null	3462
932	6634709	null	3457
933	102778426	null	3452
934	97798161	null	3445
935	41055147	null	3440
936	105813753	null	3439
937	80599595	null	3437
938	56227922	null	3433
939	15651045	null	3427
940	101702108	null	3426
941	80948293	null	3420
942	62299507	null	3417
943	22313073	null	3414
944	117826906	null	3407
945	26855217	null	3398
946	33006274	null	3398
947	61859358	null	3394
948	17010088	null	3392
949	29446741	null	3391
950	23681517	null	3386
951	61097656	null	3383
952	53049838	null	3382
953	88434623	null	3379
954	68672533	null	3377
955	125628161	null	3375
956	20937808	null	3370
957	115120270	null	3370
958	50276804	null	3368
959	40176838	null	3365
960	12166393	null	3358
961	68195297	null	3354
962	19374058	null	3351
963	71201322	null	3345
964	31055835	null	3344
965	76952048	null	3333
966	61474597	null	3329
967	65421698	null	3327
968	34369366	null	3321
969	42390042	null	3316
970	49746886	null	3316
971	107315142	null	3314
972	5697374	null	3311
973	65351321	null	3307
974	68766176	null	3303
975	113350207	null	3303
976	58063917	null	3298
977	3966872	null	3289
978	55872664	null	3282
979	81004712	null	3281
980	15408370	null	3277
981	106625	null	3271
982	24682607	null	3270
983	37074322	null	3270
984	42739292	null	3267
985	55661913	null	3265
986	89193760	null	3237
987	34873834	null	3235
988	7539635	null	3233
989	41163668	null	3229
990	70654777	null	3229
991	20742505	null	3217
992	46584596	null	3216
993	36642772	null	3215
994	4993039	CoinURL.com	3214
995	17526878	null	3213
996	8681260	null	3210
997	42831399	null	3210
998	62543416	null	3209
999	7948571	null	3206
1000	22583631	null	3194
1001	46631116	null	3194
1002	21697526	TheRockTrading.com	3189
1003	65733320	null	3186
1004	34395810	null	3183
1005	36382205	null	3183
1006	44570978	null	3181
1007	62128302	null	3173
1008	80873378	null	3172
